,ID,Name,Position,Overall,Potential,BS,IR,PAC,SHO,PAS,DRI,DEF,PHY,Value,Wage,TotalStats
0,231747, K. Mbappé,ST LW RW,90,95,466,3 ★,96,86,78,91,39,76,€185.5M,€160K,2147
1,190871, Neymar Jr,LW CAM,91,91,451,5 ★,91,85,86,94,36,59,€132M,€270K,2175
2,192985, K. De Bruyne,CM CAM,91,91,485,4 ★,76,86,93,88,64,78,€127.5M,€370K,2304
3,233049, J. Sancho,RM CF CAM,87,93,433,3 ★,83,75,83,91,37,64,€124M,€82K,2011
4,202126, H. Kane,ST,89,90,456,3 ★,68,91,82,81,51,83,€123M,€230K,2204
5,235790, K. Havertz,CAM RM CM,85,93,441,3 ★,84,81,79,85,45,67,€121M,€105K,2058
6,208722, S. Mané,LW,90,90,471,3 ★,94,85,80,91,44,77,€120.5M,€250K,2208
7,209331, M. Salah,RW,90,90,470,3 ★,93,86,81,90,45,75,€120.5M,€250K,2211
8,200389, J. Oblak,GK,91,93,489,3 ★,87,92,78,90,52,90,€120M,€125K,1413
9,231281, T. Alexander-Arnold,RB,87,92,462,2 ★,78,66,87,80,80,71,€114M,€110K,2216
10,203376, V. van Dijk,CB,90,91,455,3 ★,76,60,71,71,91,86,€113M,€210K,2112
11,188545, R. Lewandowski,ST,91,91,459,4 ★,78,91,79,85,44,82,€111M,€240K,2201
12,192448, M. ter Stegen,GK,90,93,484,3 ★,88,85,88,90,45,88,€110M,€260K,1442
13,202652, R. Sterling,LW RW,88,89,457,3 ★,92,81,79,90,45,70,€109M,€270K,2113
14,211110, P. Dybala,CF CAM,88,89,451,3 ★,85,84,84,92,43,63,€109M,€190K,2152
15,239085, E. Haaland,ST,85,92,443,2 ★,87,88,63,77,43,85,€106M,€61K,2042
16,212198, Bruno Fernandes,CAM CM,87,90,480,2 ★,77,84,88,85,69,77,€105.5M,€195K,2325
17,158023, L. Messi,RW ST CF,93,93,466,5 ★,85,92,91,95,38,65,€103.5M,€560K,2231
18,212622, J. Kimmich,CDM RB,88,90,475,3 ★,71,73,86,84,82,79,€103M,€145K,2274
19,212831, Alisson,GK,90,91,490,3 ★,86,88,85,89,51,91,€102M,€160K,1389
20,235243, M. de Ligt,CB,85,92,435,3 ★,72,59,66,69,85,84,€99M,€81K,1988
21,200104, H. Son,LM CF LW,88,88,455,3 ★,88,87,80,88,43,69,€97.5M,€200K,2129
22,230621, G. Donnarumma,GK,85,92,468,3 ★,89,81,76,89,50,83,€93.5M,€34K,1330
23,212218, A. Laporte,CB,87,90,422,2 ★,63,50,72,68,88,81,€92.5M,€200K,1983
24,210257, Ederson,GK,88,91,498,2 ★,86,82,93,88,63,86,€92M,€195K,1534
25,216267, A. Robertson,LB,87,89,462,3 ★,82,62,81,80,81,76,€90.5M,€155K,2139
26,200145, Casemiro,CDM,89,89,463,3 ★,65,73,76,72,86,91,€90.5M,€310K,2220
27,183277, E. Hazard,LW,88,88,446,4 ★,88,82,83,92,35,66,€89.5M,€350K,2105
28,209499, Fabinho,CDM CB,87,89,461,3 ★,67,69,79,77,86,83,€88.5M,€155K,2175
29,206113, S. Gnabry,RM LM RW,86,88,447,3 ★,83,85,80,86,43,70,€88M,€110K,2086
30,182521, T. Kroos,CM,88,88,446,4 ★,54,81,91,81,71,68,€87.5M,€310K,2149
31,231478, L. Martínez,ST,84,91,451,1 ★,83,82,71,85,48,82,€86.5M,€130K,2115
32,231677, M. Rashford,LM ST,85,91,460,2 ★,91,84,79,85,43,78,€86.5M,€150K,2151
33,165153, K. Benzema,CF ST,89,89,442,4 ★,74,85,81,86,40,76,€83.5M,€350K,2111
34,153079, S. Agüero,ST,89,89,439,4 ★,78,90,77,88,33,73,€83.5M,€300K,2115
35,192119, T. Courtois,GK,89,90,468,4 ★,84,89,74,88,48,85,€82M,€250K,1325
36,222492, L. Sané,LM,85,90,444,2 ★,93,81,79,86,38,67,€81.5M,€100K,2086
37,218667, Bernardo Silva,CAM RW CM,86,87,450,2 ★,81,77,83,91,51,67,€81M,€195K,2119
38,228702, F. de Jong,CM CDM,85,90,468,3 ★,80,64,84,87,76,77,€81M,€190K,2185
39,215914, N. Kanté,CDM CM,88,88,468,3 ★,77,66,76,81,86,82,€78M,€190K,2169
40,192387, C. Immobile,ST,87,87,438,3 ★,84,88,67,83,39,77,€78M,€125K,2057
41,195864, P. Pogba,CM CDM,86,87,473,4 ★,73,81,86,85,64,84,€77.5M,€190K,2226
42,201024, K. Koulibaly,CB,88,88,401,3 ★,75,28,55,68,89,86,€76.5M,€140K,1734
43,223848, S. Milinković-Savić,CM CDM CAM,85,89,475,2 ★,69,79,80,83,79,85,€74.5M,€95K,2225
44,212188, T. Werner,ST LW,85,88,435,3 ★,91,85,69,84,35,71,€74.5M,€135K,2026
45,213345, K. Coman,LM RM LW,85,88,427,3 ★,93,76,79,88,30,61,€73.5M,€100K,1973
46,239053, F. Valverde,CM,83,90,474,1 ★,86,74,78,79,77,80,€73.5M,€135K,2173
47,201535, R. Varane,CB,86,88,428,3 ★,82,49,64,64,87,82,€72.5M,€220K,1933
48,199556, M. Verratti,CM CDM,86,86,445,3 ★,64,60,85,90,79,67,€72M,€135K,2168
49,209658, L. Goretzka,CM CDM,85,88,484,3 ★,78,79,81,82,79,85,€71M,€110K,2271
50,201942, Roberto Firmino,CF,86,86,464,3 ★,77,79,80,89,61,78,€69.5M,€175K,2199
51,194765, A. Griezmann,ST LW RW,86,86,463,4 ★,79,84,84,87,57,72,€68M,€270K,2281
52,242444, João Félix,CF ST,82,93,432,1 ★,81,81,76,85,40,69,€67.5M,€56K,2069
53,188567, P. Aubameyang,ST LW,87,87,439,3 ★,92,86,75,80,37,69,€67.5M,€170K,2072
54,220440, C. Lenglet,CB,85,89,419,2 ★,74,45,67,65,87,81,€67M,€190K,1930
55,232363, M. Škriniar,CB,85,89,403,1 ★,69,41,59,66,87,81,€67M,€130K,1813
56,231866, Rodri,CDM CM,85,88,448,2 ★,65,68,77,77,82,79,€66.5M,€145K,2093
57,207865, Marquinhos,CB CDM,85,89,421,3 ★,72,41,73,70,87,78,€66M,€115K,1962
58,189596, T. Müller,CAM RM RW,86,86,437,4 ★,68,82,82,78,56,71,€65.5M,€130K,2122
59,230142, Oyarzabal,LW RW,84,89,432,1 ★,82,82,80,84,41,63,€63.5M,€47K,2050
60,20801, Cristiano Ronaldo,ST LW,92,92,464,5 ★,89,93,81,89,35,77,€63M,€220K,2221
61,183898, A. Di María,RW LW,87,87,453,4 ★,83,81,85,88,48,68,€63M,€160K,2168
62,201399, M. Icardi,ST,85,86,405,3 ★,73,85,65,78,36,68,€63M,€135K,1946
63,192505, R. Lukaku,ST,85,86,437,3 ★,81,83,76,75,38,84,€63M,€165K,2019
64,208670, H. Ziyech,CAM RW,85,86,441,3 ★,78,76,87,84,50,66,€62M,€140K,2092
65,234906, H. Aouar,CM LM,82,89,459,1 ★,78,75,81,86,66,73,€61.5M,€70K,2147
66,204963, Carvajal,RB,86,86,454,3 ★,80,54,78,80,82,80,€61.5M,€230K,2133
67,230658, Arthur,CM,84,88,454,2 ★,66,73,82,87,75,71,€60M,€100K,2163
68,222665, M. Ødegaard,CAM CM,83,89,443,3 ★,78,75,84,85,58,63,€58.5M,€135K,2099
69,210243, Ricardo Pereira,RB,85,86,467,3 ★,83,66,79,82,81,76,€58M,€120K,2191
70,239231, Cucurella,LM LB,81,89,453,1 ★,81,67,78,80,73,74,€58M,€28K,2107
71,231443, O. Dembélé,RW LW,83,89,425,3 ★,92,77,77,87,36,56,€57.5M,€175K,1989
72,198706, Luis Alberto,CAM CM CF,85,85,438,2 ★,74,76,86,85,58,59,€57.5M,€100K,2048
73,183711, J. Henderson,CDM CM,86,86,467,2 ★,67,74,84,79,81,82,€57M,€140K,2224
74,202556, M. Depay,CF LW CAM,84,87,441,3 ★,82,83,82,84,32,78,€56M,€105K,2078
75,189511, Sergio Busquets,CDM CM,87,87,423,4 ★,42,62,80,80,82,77,€56M,€240K,2018
76,210035, Grimaldo,LB,84,88,459,3 ★,85,65,79,84,76,70,€56M,€20K,2178
77,235212, A. Hakimi,RM,83,88,470,1 ★,94,70,76,82,72,76,€56M,€90K,2122
78,208421, Saúl,CM LM LB,84,87,464,3 ★,68,79,79,81,78,79,€55.5M,€78K,2213
79,226790, W. Ndidi,CDM CM,84,88,446,1 ★,71,62,68,74,87,84,€55M,€95K,2120
80,178603, M. Hummels,CB,87,87,433,4 ★,58,58,77,73,90,77,€54.5M,€100K,2049
81,193747, Koke,CM RM LM,85,85,466,3 ★,67,75,85,81,78,80,€54M,€90K,2213
82,143076, A. Gómez,CAM CF ST,86,86,436,3 ★,90,80,84,88,39,55,€54M,€100K,2075
83,186153, W. Szczęsny,GK,87,87,465,3 ★,86,82,73,88,49,87,€53M,€105K,1317
84,198219, L. Insigne,LW CF,85,85,420,3 ★,88,78,83,91,36,44,€53M,€120K,2001
85,234396, A. Davies,LB LM RM,81,89,467,1 ★,96,67,69,83,76,76,€53M,€40K,2111
86,204485, R. Mahrez,RW RM,85,85,427,3 ★,83,78,80,89,38,59,€53M,€210K,2026
87,230666, Gabriel Jesus,ST,83,87,441,2 ★,85,82,72,87,42,73,€52.5M,€150K,2076
88,181291, G. Wijnaldum,CM,85,85,478,3 ★,77,75,81,87,79,79,€52.5M,€150K,2276
